source,target
"Paris","Robotics"
"Paris","Mechanical Engineering"
"Paris","Psychology and Gender Medicine"
"Paris","Gender Research"
"Paris","Human-Machine Interface"
"Paris","Architecture and Urban Planning"
"Paris","Physics"
"Paris","Endocrinology"
"Paris","Medicine"
"Paris","Physiology"
"Paris","History of Science"
"Paris","Gender Medicine"
"Paris","Gender and Diversity in Organizations"
