source,target
"Madrid","Environmental Sciences"
"Madrid","Environmental Sciences"
"Madrid","Endocrinology"
"Madrid","Sociology"
"Madrid","Environmental Planning"
"Madrid","Medicine"
"Madrid","Architecture"
"Madrid","Architecture and Urban Planning"
"Madrid","History of Science"
"Madrid","Gender Medicine"
"Madrid","Gender and Diversity in Organizations"
