source,target
"Brussels","Medicine"
"Brussels","Sociology"
"Brussels","Engineering"
"Brussels","Genetics"
"Brussels","Science, Technology, and Society"
"Brussels","Urban Planning"
"Brussels","Gender and Neuroscience"
"Brussels","Informatics"
"Brussels","Architecture and Urban Planning"
"Brussels","History of Science"
"Brussels","Gender Medicine"
"Brussels","Gender and Diversity in Organizations"
